Magnetization	Interface
0,080				989
0,080				989
0,080				989
0,080				989
0,080				989
0,080				989
0,080				989
0,080				989
0,080				989
0,080				989
-0,300				931
-0,300				931
-0,300				931
-0,300				931
-0,300				931
-0,300				931
-0,300				931
-0,300				931
-0,300				931
-0,300				931
-0,160				988
-0,160				988
-0,160				988
-0,160				988
-0,160				988
-0,160				988
-0,160				988
-0,160				988
-0,160				988
-0,160				988
0,040				1010
0,040				1010
0,040				1010
0,040				1010
0,040				1010
0,040				1010
0,040				1010
0,040				1010
0,040				1010
0,040				1010
0,020				1037
0,020				1037
0,020				1037
0,020				1037
0,020				1037
0,020				1037
0,020				1037
0,020				1037
0,020				1037
0,020				1037
0,080				1020
0,080				1020
0,080				1020
0,080				1020
0,080				1020
0,080				1020
0,080				1020
0,080				1020
0,080				1020
0,080				1020
0,060				994
0,060				994
0,060				994
0,060				994
0,060				994
0,060				994
0,060				994
0,060				994
0,060				994
0,060				994
0,100				1000
0,100				1000
0,100				1000
0,100				1000
0,100				1000
0,100				1000
0,100				1000
0,100				1000
0,100				1000
0,100				1000
0,080				1025
0,080				1025
0,080				1025
0,080				1025
0,080				1025
0,080				1025
0,080				1025
0,080				1025
0,080				1025
0,080				1025
-0,080				999
-0,080				999
-0,080				999
-0,080				999
-0,080				999
-0,080				999
-0,080				999
-0,080				999
-0,080				999
-0,080				999
