256;214;156;130;120;106;96;90;86;86;80;78;78;76;74;72;72;72;72;70;70;70;68;68;66;66;66;64;62;62;60;60;60;60;58;58;56;56;56;54;54;54;54;54;52;50;48;46;46;46;46;46;46;44;44;44;44;42;42;42;42;42;42;42;42;40;38;36;36;36;36;36;36;34;34;34;34;34;32;32;32;30;28;28;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;
238;186;144;118;104;94;88;80;78;76;76;70;70;68;66;64;60;60;56;56;54;52;52;50;48;46;46;42;40;40;40;40;40;38;38;36;36;36;36;34;34;34;34;34;34;32;32;32;32;32;32;32;30;30;30;30;30;30;30;30;30;28;28;28;28;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;
266;202;168;138;122;110;102;92;86;82;78;76;70;68;68;68;66;62;62;62;58;54;52;52;52;52;52;52;52;50;50;50;50;50;50;48;46;46;46;44;44;42;42;42;42;42;42;42;42;42;42;40;40;40;40;40;40;40;38;38;38;38;38;38;36;36;36;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;
250;176;148;132;124;120;114;114;104;92;90;78;76;72;72;72;72;70;70;64;62;60;60;56;54;50;50;50;50;50;50;48;48;46;46;46;46;46;44;44;44;44;44;44;40;40;40;40;40;38;38;38;38;38;36;36;36;36;36;36;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;28;28;28;28;28;28;28;
266;188;154;134;120;112;100;92;88;82;82;80;78;72;72;68;66;64;62;62;56;56;56;54;50;50;48;48;48;44;44;44;42;42;42;42;40;40;40;38;38;38;36;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;30;30;30;30;30;30;30;30;30;
250;184;156;130;110;102;92;80;78;74;72;72;72;66;64;64;64;58;58;58;58;56;54;54;54;54;52;52;52;52;52;52;52;52;52;50;50;50;50;50;50;48;48;48;48;48;48;48;48;48;48;48;48;46;46;46;44;44;44;44;44;44;42;42;42;42;42;42;40;38;38;38;38;38;38;38;38;38;38;38;36;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;34;
274;206;162;136;122;114;102;92;86;84;80;78;74;74;74;72;70;70;70;68;66;66;66;62;62;62;62;58;58;58;58;58;58;56;54;50;48;48;46;46;46;46;46;46;44;44;42;42;42;40;40;40;40;38;38;38;38;38;38;38;38;38;38;36;34;34;34;32;32;30;28;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;24;24;22;22;20;20;20;18;18;18;
234;172;136;124;116;108;100;98;92;86;86;82;82;78;76;72;68;64;64;64;64;64;60;56;52;52;52;50;50;50;50;48;48;48;48;48;48;48;48;46;46;46;46;46;46;46;44;44;44;44;44;44;44;44;44;44;42;42;42;42;42;42;40;40;40;38;38;38;38;38;38;38;38;38;38;38;38;36;36;36;36;36;36;36;36;36;36;36;36;34;32;32;32;32;32;30;30;30;30;28;
248;176;150;128;116;104;102;92;88;84;80;76;76;72;64;62;60;60;56;54;54;52;50;50;48;48;48;46;46;46;46;42;42;42;42;40;34;34;34;34;32;32;32;32;32;32;32;32;32;32;32;32;30;28;26;26;26;26;26;26;26;26;26;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;
242;170;140;124;112;102;98;96;88;80;80;78;70;66;66;62;62;62;62;60;58;54;54;52;52;48;46;46;44;44;44;42;42;42;42;42;42;42;42;38;36;36;36;36;36;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;32;32;32;32;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;28;28;28;28;28;28;28;28;
264;196;158;134;114;108;104;98;94;88;82;82;76;76;68;66;64;64;64;64;60;56;54;54;54;52;52;52;52;52;52;52;52;52;52;52;52;48;48;48;46;46;46;44;44;42;42;40;40;40;40;40;40;40;40;40;40;40;40;38;38;38;38;38;36;36;36;36;36;36;36;36;34;32;32;32;32;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;28;28;28;28;28;28;28;28;
262;196;160;142;128;116;114;104;100;94;92;90;84;80;76;74;72;68;68;64;64;64;64;64;64;60;60;60;60;60;60;60;56;56;56;56;54;54;54;52;50;46;44;42;42;42;42;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;34;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;30;30;30;30;30;30;30;30;
258;194;158;132;120;100;96;88;86;84;84;82;76;74;74;72;70;70;68;66;66;64;62;60;60;54;54;54;54;52;50;46;46;46;46;40;40;40;38;38;38;38;38;36;36;36;36;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;30;30;30;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;
250;184;152;128;120;110;102;94;88;82;80;78;72;72;72;68;64;62;62;60;58;58;58;54;50;48;46;46;46;46;44;42;42;42;40;38;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;28;28;28;26;26;26;26;26;26;26;
258;192;168;140;126;116;110;104;94;84;76;72;70;66;66;62;58;58;54;52;50;48;48;44;44;44;44;42;42;38;38;36;36;36;36;36;36;36;36;34;34;32;32;32;32;32;32;30;28;28;28;28;28;28;28;26;26;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;22;22;22;22;22;22;22;22;
